Título	Frecuencia AM o FM	URL Radio en Línea	Ciudad	País	Correo	Web / URL	RSS Podcast	Computadoras en la  radio	Usan SO libres	SO gnulinux instalados	Software libre de radio	Qué licencias libres usan	Redes y plataformas
Noís Radio	On Line		Cali	Colombia	noisradio@gmail.com	http://noisradio.blogspot.com/		3 a 5	En las de producción, En las de salir al aire	EterTICs GNU/Linux, Ubuntu / Ubuntu Studio	Ardour, Audacity, Butt, Mixxx, IDJC, VLC	Dominio Público, CC - BY, CC-BY-SA	Archive, Radioteca, Mastodon
RVT radio 101.3 FM	101.3 FM	http://www.rvtnapo.com:8000/rvtnapo	Tena	Ecuador	rvtnapo@gmail.com	http://www.rvtnapo.com		3 a 5	En las de salir al aire	Otras distros derivadas de Ubuntu (Lubuntu, Xubuntu...)	G-Radio		
FM El Libertador	90.1 FM	https://radios.radiosyculturalibre.com.ar/fmellibertador.ogg.m3u	Posadas	Argentina	julioluismoyano@gmail.com	http://ellibertadorenlinea.com.ar/		3 a 5	En todas	EterTICs GNU/Linux	G-Radio, Audacity, Butt, VLC	CC - BY	"Radioteca
Diaspora"
Radioliberada	On Line		San Cristóbal	República Bolivariana de Venezuela	radioliberadapodcast2@gmail.com	https://radioliberada.org.ve		1 a 2	En todas	Manrjaro	Audacity	CC BY-SA	Mastodon, Matrix, internet archive, radioteca
Noticias de abajo	On Line	espora.org:8000/laboratorio	Ciudad de Mexico	Mexico	noticiasdeabajoml@riseup.net	http://laboratoriodemedios.org	http://noticiasdeabajoml.wordpress.com/feed/	3 a 5	En todas	Ubuntu / Ubuntu Studio, Linux Mint, Debian	Ardour, Butt, IDJC, VLC	Dominio Público, CC-BY-NC	Mastodont, archive, diaspora, gnusocial
Radio Tierra Campesina	89.1 FM	www.comecuco.org:8000/tierracampesina	Jocolí	Argentina	radiotierracampesina@gmail.com			5 a 10	En todas	EterTICs GNU/Linux, Ubuntu / Ubuntu Studio	G-Radio, Audacity, Butt, VLC		
FM Mate Amargo 98.5	FM 98.5 FM		Los Toldos Bs. As.	Argentina	matetv@protonmail.com				En todas	EterTICs GNU/Linux, Manjaro	G-Radio, Audacity, Butt, VLC		
Aconchego	88,5 FM	https://orelha.radiolivre.org/aconchego	Recife	Brasil	radioaconchego@riseup.net	https://radioaconchego.milharal.org	https://radioaconchego.milharal.org/category/programas/feed/	1 a 2	En todas	EterTICs GNU/Linux	G-Radio, Audacity, Butt	Dominio Público	"Archive
Mastodon"
Radio Saint Germain	On Line	173.255.205.241:8200	Mar del Plata	Argentina	radiosaintgermain@yahoo.com.ar	http://www.radiosaintgermain.com		5 a 10	En las de producción, En las de salir al aire	Ubuntu / Ubuntu Studio	Audacity, VLC	Dominio Público, Producción de Pares BY-SA-NoCapitalista	Radioteca
Cholollan Radio	107.1 FM	www.fmcholollan.org.mx/radio	Cholula	Puebla	fmcholollan@gmail.com	http://www.fmcholollan.org.mx		1 a 2	En las de producción, En las de salir al aire, En las de prensa	EterTICs GNU/Linux	G-Radio, Radit, Ardour, Audacity, Butt, VLC	Dominio Público, CC - BY, CC-BY-NC	Archive y Radioteca
Urquia	97.5 FM	http://190.9.130.31:8000/urquiafm.mp3	Los Teques	Venezuela	urquiafm@gmail.com	http://www.urquiafm.net.ve		1 a 2	En todas	EterTICs GNU/Linux	Radit	Dominio Público	
Radio Encuentro	98.5 FM	http://192.99.46.171:10052/stream.mp3	Luján	Argentina	consultas@radioencuentro.com.ar	https://www.radioencuentro.com.ar		1 a 2	En todas	EterTICs GNU/Linux	Rivendell	Dominio Público	No por ahora.
Radio Almaina	88.5FM	http://s.streampunk.cc/almaina.ogg	Granada	España	contacto@radioalmaina.org	https://www.radioalmaina.org	https://podcast.radioalmaina.org/feed/	3 a 5	En las de producción, En las de salir al aire	Debian	Butt, IDJC	Dominio Público, CC - BY, CC-BY-SA	GNUSocial, Archive, Streampunk,
Radio Universitaria	106.6 FM	http://193.146.101.121:8000/radio-unileon-320	León	España	eloy.garcia.pca@gmail.com	http://radiouniversitaria.com/		5 a 10	En todas	Ubuntu / Ubuntu Studio, Arch y otras derivadas	Audacity, Butt	---	
Nolegaltech Radio	On Line		Santiago de Compostela	España	nolegaltech.radio@gmail.com	https://archive.org/details/NolegaltechRadio	http://feeds.feedburner.com/nolegaltechradio	1 a 2	En todas	Ubuntu / Ubuntu Studio, Otras distros derivadas de Ubuntu (Lubuntu, Xubuntu...)	Audacity, VLC	CC-BY-SA	"Archive.org
https://archive.org/details/NolegaltechRadio"
Radio Roja	90.1 FM	orelha.radiolivre.org:8000/radioroja.ogg	Casa Grande	Argentina	informes@radioroja.com.ar	http://www.radioroja.com.ar		1 a 2	En todas	Debian	G-Radio, Audacity, Butt, Mixxx, VLC	---	Diaspora
Radio Kvrruf	On Line	http://radiokurruf.org/	Temuco	Chile	radiokurruf@riseup.net	http://radiokurruf.org/		1 a 2	En todas	EterTICs GNU/Linux	G-Radio, Radit, Audacity, Butt, Mixxx	Producción de Pares BY-SA-NoCapitalista	"Archive
Radioteca
Mastodon"
