id,name,stream_broken,has_ads,location,webpage,url,icon,description,epg,mailto
1,Radio Contrabanda,,,"Barri Gotic, Barcelona",https://www.contrabanda.org/,https://radiobot.radioslibres.info/listen/contrabanda_fm/radio.mp3,https://www.contrabanda.org/wp-content/uploads/2021/01/cropped-miniatura_CBFM_2-32x32.png,,,contrabanda@contrabanda.org
2,Radio Arrebato,,,"Guadalajara, Spain",https://www.radioarrebato.net/,https://radioarrebato-seo.nabario.deno.net/api/live8,https://pbs.twimg.com/profile_images/1972705258380959744/pczIzr5G_400x400.jpg,,,
3,Radio Ciroma,,,"Cosenza, Calabria",https://ciroma.org/,https://s.streampunk.cc/ciroma.mp3,https://ciroma.org/images/ciroma_small.png,,,
4,Eguzki Irratia,,,"Pamplona, Basque Country",https://eguzki.eus/,https://streaming.eguzki.eus/eguzki.mp3,https://eguzki.eus/wp-content/themes/eguzki/images/logo.png,,,
5,Radio Città Fujiko,,,"Bologna, Emilia",https://www.radiocittafujiko.it/,https://streaming.radiocittafujiko.it:8000/rcf.ogg,https://pbs.twimg.com/profile_images/345880108/piccolocpmeadesivo.gif_reasonably_small.gif,,,
6,Radio Bip,,,"Besançon, France",https://radiobip.fr/site/,https://radiobip.fr/web?,https://radiobip.fr/site/wp-content/uploads/2016/04/logo-2.png,,,
7,FM La Tribu,,,"Buenos Aires, Argentina",https://fmlatribu.com/,https://icecast.zeclogiccloud.com.de/fmlatribu,https://pbs.twimg.com/profile_images/2029059510376251392/FSMJVgFD_400x400.jpg,,,
8,Radiofabrik,,,"Salzburg, Austria",https://radiofabrik.at/,http://stream.radiofabrik.at/rf_low.mp3,https://radiofabrik.at/wp-content/themes/radiofabrik/images/rf_button.svg,,,
9,Radio QK,,,"Asturias, Spain",https://radioqk.org/,https://icecast.radioqk.org:8443/radioqk_master.mp3,https://pbs.twimg.com/profile_images/1667577666810068994/a9JCvnwD_400x400.jpg,,,
10,Radio Pica,,,"Barcelona, Spain",https://www.radiopica.cat/,https://stream-177.zeno.fm/ebycf0utpwzuv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJlYnljZjB1dHB3enV2IiwiaG9zdCI6InN0cmVhbS0xNzcuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6InNjcE5zcVMxUUw2M2lKb096RWZqMEEiLCJpYXQiOjE3NzkwMTA0MjksImV4cCI6MTc3OTAxMDQ4OX0.2rJr8r6cny0fJWy21YcNlXZHGVQQCYgP7PyQMhA8Gb8,https://cdn.bsky.app/img/avatar/plain/did:plc:rtef3cdqn2rniarh74t7kbg3/bafkreiajapioi23d43p7beul7z2hdqljep7jn2sqezaz6aa4g5z4oxgbni,,,
